lat,lon,pdr_mean,pdr_std,N,source_folder,stat_file
36.279048,127.300942,0.04531117797177802,0.026062797391491657,47,lat36.279048_lon127.300942,results_lat36.279048_lon127.300942_stat.txt
36.279619,127.336975,0.03179657804727961,0.01824128879941339,26,lat36.279619_lon127.336975,results_lat36.279619_lon127.336975_stat.txt
36.27966,127.265188,0.04442858279154944,0.022120715530151876,36,lat36.279660_lon127.265188,results_lat36.279660_lon127.265188_stat.txt
36.279798,127.265464,0.046207581477868756,0.030728641166103552,37,lat36.279798_lon127.265464,results_lat36.279798_lon127.265464_stat.txt
36.279868,127.413555,0.03144332988555404,0.014514927526187963,41,lat36.279868_lon127.413555,results_lat36.279868_lon127.413555_stat.txt
36.279968,127.393723,0.02288161864765626,0.019616227971742492,21,lat36.279968_lon127.393723,results_lat36.279968_lon127.393723_stat.txt
36.280268,127.422349,0.057384672073568364,0.17881286560299894,16,lat36.280268_lon127.422349,results_lat36.280268_lon127.422349_stat.txt
36.280342,127.40127,0.024287218792723893,0.023756272386905843,22,lat36.280342_lon127.401270,results_lat36.280342_lon127.401270_stat.txt
36.280373,127.392434,0.07153904616733513,0.043883733927191124,29,lat36.280373_lon127.392434,results_lat36.280373_lon127.392434_stat.txt
36.28044,127.493056,0.04486418004071139,0.02194382351320453,34,lat36.280440_lon127.493056,results_lat36.280440_lon127.493056_stat.txt
36.280537,127.401392,0.025766961708006717,0.011899078546971753,30,lat36.280537_lon127.401392,results_lat36.280537_lon127.401392_stat.txt
36.280663,127.267209,0.0563859263752626,0.17896643528215114,14,lat36.280663_lon127.267209,results_lat36.280663_lon127.267209_stat.txt
36.281,127.259064,0.03867237383639293,0.022404491554544503,21,lat36.281000_lon127.259064,results_lat36.281000_lon127.259064_stat.txt
36.281398,127.306219,0.02164587715979234,0.01362896955581546,28,lat36.281398_lon127.306219,results_lat36.281398_lon127.306219_stat.txt
36.281402,127.305929,0.033983515458015465,0.02338012916885283,37,lat36.281402_lon127.305929,results_lat36.281402_lon127.305929_stat.txt
36.28152,127.314663,0.051603155527149135,0.026126627849346225,38,lat36.281520_lon127.314663,results_lat36.281520_lon127.314663_stat.txt
36.281727,127.452444,0.07847050664551232,0.17531484982925025,17,lat36.281727_lon127.452444,results_lat36.281727_lon127.452444_stat.txt
36.2819,127.319374,0.02580423111650146,0.012121185006528238,29,lat36.281900_lon127.319374,results_lat36.281900_lon127.319374_stat.txt
