index,random_latitude,random_longitude,snapped_latitude,snapped_longitude,snap_distance_m,experiment_id,incident_size,amb_velocity,uav_velocity,total_samples,random_seed,is_use_time,uav_size,scenario_gen_time_sec,simulation_time_sec,api_call_count,status,failure_reason,평균 시나리오 생성 시간(초),평균 시뮬레이션 실행 시간(초),평균 API 호출 수,전체 좌표 수,실험 성공 수,성공률(%)
654,36.22875391,127.4553726,36.228742,127.455351,2.345803908,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.15,0.69,36,success,,,,,,,
655,36.35163772,127.3099656,36.349966,127.308221,242.8263463,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.14,0.69,37,success,,,,,,,
656,36.42613626,127.3919849,36.4261,127.391962,4.524467817,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.47,0.69,37,success,,,,,,,
657,36.27169851,127.3882195,36.270614,127.388718,128.6062323,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.13,0.7,35,success,,,,,,,
658,36.40739164,127.4025269,36.407379,127.402515,1.761223477,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.32,0.7,39,success,,,,,,,
659,36.22266194,127.4294814,36.222951,127.429905,49.76826688,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.19,0.71,36,success,,,,,,,
660,36.32278283,127.3960712,36.322739,127.395884,17.46850543,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.81,0.76,36,success,,,,,,,
661,36.23074389,127.4497863,36.230784,127.448975,72.90555695,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.23,0.69,36,success,,,,,,,
662,36.43425939,127.3687737,36.434164,127.368617,17.5803261,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.19,0.77,37,success,,,,,,,
663,36.31074668,127.4613093,36.311022,127.461693,46.03749355,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.13,0.75,36,success,,,,,,,
664,36.27522506,127.3656601,36.276027,127.365377,92.71388454,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.15,0.71,35,success,,,,,,,
665,36.37122477,127.4516951,36.371109,127.451633,14.02163309,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.17,0.72,39,success,,,,,,,
666,36.44108328,127.3441196,36.442755,127.342445,238.733154,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.19,0.7,37,success,,,,,,,
667,36.4176797,127.3138665,36.417292,127.313361,62.48735291,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.79,0.88,37,success,,,,,,,
668,36.31235208,127.4261088,36.312226,127.426948,76.48578655,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.13,0.66,35,success,,,,,,,
669,36.33772441,127.3385654,36.337724,127.338538,2.45559335,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.14,0.67,36,success,,,,,,,
670,36.39247957,127.3171088,36.391626,127.315219,193.9605523,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.14,0.69,38,success,,,,,,,
671,36.41098208,127.2966629,36.410932,127.296433,21.31085018,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.74,0.67,37,success,,,,,,,
672,36.39080291,127.3936311,36.390816,127.393629,1.466897624,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.13,0.7,38,success,,,,,,,
673,36.42032985,127.46282,36.422079,127.46108,249.1352356,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.12,0.67,38,success,,,,,,,
674,36.32131123,127.3692574,36.321093,127.369241,24.31053143,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.69,0.67,36,success,,,,,,,
675,36.24957364,127.4292626,36.250081,127.431826,236.6850952,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.13,0.69,36,success,,,,,,,
676,36.34906305,127.3310567,36.349092,127.330954,9.744075525,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.11,0.67,36,success,,,,,,,
677,36.27490601,127.40025,36.274937,127.400414,15.09847544,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.44,0.78,35,success,,,,,,,
678,36.21046799,127.3349045,36.21084,127.336503,149.2559866,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.14,0.66,35,success,,,,,,,
679,36.36238138,127.4649797,36.362767,127.467229,205.9253889,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.11,0.69,37,success,,,,,,,
680,36.29152184,127.4441719,36.291537,127.44411,5.795870741,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.96,0.68,35,success,,,,,,,
681,36.2208448,127.4465354,36.220859,127.446143,35.23553231,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.15,0.7,36,success,,,,,,,
682,36.29811809,127.3491804,36.298202,127.34921,9.701262366,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.14,0.68,36,success,,,,,,,
683,36.30253734,127.3763735,36.302544,127.37625,11.09274814,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,36.08,0.69,35,success,,,,,,,
684,36.32924708,127.3238156,36.328491,127.323257,97.83832965,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.12,0.67,36,success,,,,,,,
685,36.4172282,127.3165696,36.416011,127.315693,156.4320937,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.18,0.68,37,success,,,,,,,
686,36.29336873,127.4597598,36.293131,127.459452,38.20788512,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.01,0.69,36,success,,,,,,,
687,36.33762602,127.484066,36.337672,127.482376,151.4589638,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.13,0.67,37,success,,,,,,,
688,36.39525584,127.3523048,36.395232,127.352332,3.596734016,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.02,0.68,38,success,,,,,,,
689,36.22187604,127.4363268,36.22039,127.436493,165.9107709,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.16,0.69,36,success,,,,,,,
690,36.37200768,127.4754905,36.371909,127.475526,11.42498804,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.14,0.67,37,success,,,,,,,
691,36.37051781,127.4752433,36.370665,127.474862,37.85790143,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.87,0.69,37,success,,,,,,,
692,36.43831904,127.4076366,36.438568,127.407349,37.79208422,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,38.13,0.69,37,success,,,,,,,
693,36.3528863,127.4277856,36.352898,127.427906,10.85955021,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,40.14,0.7,39,success,,,,,,,
694,36.33321292,127.3196475,36.332384,127.319644,92.17268387,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.13,0.68,36,success,,,,,,,
695,36.37523321,127.3597357,36.375072,127.359356,38.43294398,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.17,0.68,38,success,,,,,,,
696,36.39106832,127.3202142,36.391256,127.321477,114.940175,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,39.21,0.69,38,success,,,,,,,
697,36.31497776,127.4656281,36.314974,127.46559,3.436159447,daejeon_exp_20260129_205304,30,40,80,30,0,TRUE,0,37.11,0.68,36,success,,,,,,,
